employerName,jobUrl,employerProfileId,applications,employerId,jobId,employerProfileName,jobTitle,maximumSalary,expirationDate,date,minimumSalary,currency,jobDescription,locationName
MLK Search,https://www.reed.co.uk/jobs/board-certified-behavior-analyst-bcba-consultant/54601980,,0,662574,54601980,,Board Certified Behavior Analyst BCBA Consultant,44000.0,18/04/2025,07/03/2025,40000.0,GBP,"Job Title: &nbsp;BCBA Consultant Type:&nbsp; Full-Time, Maternity Contract Salary: &nbsp; 40,000 - 44,000 probation bonus Start Date: &nbsp;April 2025 or sooner if possible MLK Education Search is working with an ‘Outstanding’ Independent Special School in London that wishes to appoint a dedicated and experienced Board Certified Behaviour Analyst (BCBA) to join their school as soon as possible. The BCBA will be responsible for supporting the ABA... ",Bush
Meraki Talent Limited,https://www.reed.co.uk/jobs/hybrid-pm-ba/54572366,,39,487981,54572366,,Hybrid PM / BA,500.0,03/04/2025,03/03/2025,400.0,GBP,Hybrid Business Analyst / Project Manager Competitive Day Rate 6 Month Contract Edinburgh – 2 Days in office per week Start Date: ASAP CVs by: ASAP Meraki Talent is working with a globally renowned financial institution to recruit a Business Analyst / Project Manager within their Global Markets function. This role is part of a high-profile initiative focused on strengthening trading controls and mitigating unauthorized trading risks. They are lo... ,Edinburgh
Noir,https://www.reed.co.uk/jobs/data-engineer-leading-media-company-glasgow/54498398,,51,332753,54498398,,Data Engineer - Leading Media Company - Glasgow,45000.0,01/04/2025,18/02/2025,40000.0,GBP,"Data Engineer - Leading Media Company - Glasgow (Tech Stack: Data Engineer, Databricks, Python, Power BI, AWS QuickSight, AWS, TSQL, ETL, Agile Methodologies) I'm currently recruiting on behalf of a leading Software House in the Media industry , looking for a Data Engineer to join their growing team. This is a fantastic opportunity for an experienced Data Engineer to work on cutting-edge data solutions in a fast-paced, innovative environment. Th... ",Glasgow
Harnham - Data & Analytics Recruitment,https://www.reed.co.uk/jobs/data-analytics-manager/54590347,,14,331522,54590347,,Data Analytics Manager,90000.0,16/04/2025,05/03/2025,70000.0,GBP,"Data Analytics Manager Glasgow or Northampton We are working with a company who are looking to add an Analytics Manager to the team. You will partner with senior stakeholders across the business to support on a variety of functions including marketing, sales, finance and risk. You will identify issues and provide solutions using advanced analytics to drive the success of the wider business. Required: Stakeholder management Experience developing ... ",Glasgow
Nesta Consulting Ltd,https://www.reed.co.uk/jobs/energy-analyst-mixed-integer-linear-programming-python-c/54487514,,13,425061,54487514,,Energy Analyst - mixed integer linear programming / python / c#,55000.0,28/03/2025,14/02/2025,45000.0,GBP,"A great role for a person who is looking to join a fast-growing energy consulting team and play a key role in the growth of the product. You will be working with people with a wealth of experience across the Power Market Modelling sector and Tech and Data teams so on the job learning is there! This is a great opportunity to: Develop cutting-edge enhancements for the optimisation models, including developing capability for the new web-based optim... ",EH39DR
Adecco ,https://www.reed.co.uk/jobs/business-analyst-banking-edinburgh-hybrid-up-to-650-d/54650175,,23,563845,54650175,,Business Analyst Banking Edinburgh Hybrid Up to £650/d,650.0,25/04/2025,14/03/2025,600.0,GBP,"Business Analyst | Banking | Edinburgh | 6 Months Contract with possible extensions | 650/day Inside IR35 | Hybrid - 2 days in office per week, 3 days WFH | Financial Services | Customer Journey | SQL | Our Retail Banking client is seeking a highly motivated Business Analyst to join and assist an established team orchestrating customer journey, with a focus on technology amongst other aspects. You will be responsible for understanding and optimi... ",Edinburgh
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-business-consultant/53702008,,25,582327,53702008,,Trainee Business Consultant,39000.0,21/04/2025,25/09/2024,26000.0,GBP,"Are you looking to start a career as a Business Consultant and need tailored recruitment support and the right qualifications to secure your career? A business consultant helps a business analyse problems and helps provide a business with solutions by investigating issues or areas of weakness and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career as a... ",EH88BG
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-business-consultant/53701996,,19,582327,53701996,,Trainee Business Consultant,39000.0,21/04/2025,25/09/2024,26000.0,GBP,"Are you looking to start a career as a Business Consultant and need tailored recruitment support and the right qualifications to secure your career? A business consultant helps a business analyse problems and helps provide a business with solutions by investigating issues or areas of weakness and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career as a... ",G11AB
ITOL Recruitment,https://www.reed.co.uk/jobs/business-consultant-trainee/54655280,,10,582327,54655280,,Business Consultant Trainee ,39000.0,28/04/2025,17/03/2025,26000.0,GBP,"Are you looking to start a career as a Business Consultant and need tailored recruitment support and the right qualifications to secure your career? A business consultant helps a business analyse problems and helps provide a business with solutions by investigating issues or areas of weakness and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career as a... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-business-consultant/53725994,,13,582327,53725994,,Trainee Business Consultant,39000.0,22/04/2025,27/09/2024,26000.0,GBP,"Are you looking to start a career as a Business Consultant and need tailored recruitment support and the right qualifications to secure your career? A business consultant helps a business analyse problems and helps provide a business with solutions by investigating issues or areas of weakness and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career as a... ",AB115BU
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-business-consultant/54647976,,12,582327,54647976,,Trainee Business Consultant,39000.0,25/04/2025,14/03/2025,26000.0,GBP,"Are you looking to start a career as a Business Consultant and need tailored recruitment support and the right qualifications to secure your career? A business consultant helps a business analyse problems and helps provide a business with solutions by investigating issues or areas of weakness and helps facilitate the change that is needed. If you enjoy problem solving and analysing, have good admin skills and communicate well, then a career as a... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/web-developer-trainee/54647950,,30,582327,54647950,,Web Developer Trainee,35000.0,25/04/2025,14/03/2025,25000.0,GBP,"Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previo... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/web-developer-trainee/54658929,,0,582327,54658929,,Web Developer Trainee,35000.0,28/04/2025,17/03/2025,25000.0,GBP,"Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previo... ",AB115BU
ITOL Recruitment,https://www.reed.co.uk/jobs/software-developer-trainee/54648120,,31,582327,54648120,,Software Developer Trainee ,35000.0,25/04/2025,14/03/2025,26000.0,GBP,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-software-developer/54640026,,0,582327,54640026,,Trainee Software Developer,35000.0,24/04/2025,13/03/2025,26000.0,GBP,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",EH88BG
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-software-developer/54050356,,6,582327,54050356,,Trainee Software Developer,35000.0,22/04/2025,19/11/2024,26000.0,GBP,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",AB115BU
ITOL Recruitment,https://www.reed.co.uk/jobs/web-developer-trainee/52475931,,16,582327,52475931,,Web Developer Trainee,35000.0,15/04/2025,15/04/2024,25000.0,GBP,"Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previo... ",EH88BG
ITOL Recruitment,https://www.reed.co.uk/jobs/web-developer-trainee/52475893,,14,582327,52475893,,Web Developer Trainee,35000.0,15/04/2025,15/04/2024,25000.0,GBP,"Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previo... ",G11AB
ITOL Recruitment,https://www.reed.co.uk/jobs/web-developer-trainee/54435388,,1,582327,54435388,,Web Developer Trainee,35000.0,22/04/2025,06/02/2025,25000.0,GBP,"Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previo... ",AB115BU
ITOL Recruitment,https://www.reed.co.uk/jobs/coding-and-programming-trainee/54658722,,1,582327,54658722,,Coding and Programming Trainee,35000.0,28/04/2025,17/03/2025,26000.0,GBP,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",G11AB
ITOL Recruitment,https://www.reed.co.uk/jobs/coding-and-programming-trainee/54647862,,11,582327,54647862,,Coding and Programming Trainee,35000.0,25/04/2025,14/03/2025,26000.0,GBP,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-software-developer/54647999,,11,582327,54647999,,Trainee Software Developer,35000.0,25/04/2025,14/03/2025,26000.0,GBP,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",United Kingdom
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-software-developer/54640147,,1,582327,54640147,,Trainee Software Developer,35000.0,24/04/2025,13/03/2025,26000.0,GBP,"Are you looking to benefit from a new career in Software Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any p... ",G11AB
ITOL Recruitment,https://www.reed.co.uk/jobs/web-developer-trainee/54640724,,1,582327,54640724,,Web Developer Trainee,35000.0,24/04/2025,13/03/2025,25000.0,GBP,"Are you looking to benefit from a new career in Web Development? Skills shortages in the IT sector is driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level software development staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previo... ",EH88BG
ITOL Recruitment,https://www.reed.co.uk/jobs/coding-and-programming-trainee/54632290,,1,582327,54632290,,Coding and Programming Trainee,35000.0,23/04/2025,12/03/2025,26000.0,GBP,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",EH88BG
ITOL Recruitment,https://www.reed.co.uk/jobs/coding-and-programming-trainee/51996652,,44,582327,51996652,,Coding and Programming Trainee,35000.0,22/04/2025,23/01/2024,26000.0,GBP,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",AB115BU
ITOL Recruitment,https://www.reed.co.uk/jobs/trainee-coding-and-programming/54655309,,24,582327,54655309,,Trainee Coding and Programming ,35000.0,28/04/2025,17/03/2025,26000.0,GBP,"Are you looking to benefit from a new career in Programming? Skills shortages in the IT sector are driving the need for qualified, entry-level career seekers and career changers. We help place graduates from this programme in top UK companies and organisations needing to employ entry-level Programming staff that can hit the ground running with up-to-date skills gained from this programme. The best part is you will not need any previous experienc... ",United Kingdom
Harnham - Data & Analytics Recruitment,https://www.reed.co.uk/jobs/senior-analytics-manager-vp/54606971,,5,331522,54606971,,Senior Analytics Manager VP,110000.0,18/04/2025,07/03/2025,80000.0,GBP,"Glasgow - Hybrid (2 Days Per Week in Office) VP Salary: 80K- 95K (Up to 110K for Top Candidates) ABOUT THE COMPANY A major financial institution is growing, a 250 member team working across risk, marketing, and product analytics. This team operates as an internal consultancy , delivering insight-driven strategies to support commercial growth. THE ROLE These roles focus on customer analytics, risk modelling, pricing strategy, and marketing optimi... ",Glasgow
Harnham - Data & Analytics Recruitment,https://www.reed.co.uk/jobs/senior-analytics-manager-avp/54606973,,2,331522,54606973,,Senior Analytics Manager AVP,65000.0,18/04/2025,07/03/2025,55000.0,GBP,"Glasgow - Hybrid (2 Days Per Week in Office) AVP Salary: 55K - 65K (Up to 110K for Top Candidates) ABOUT THE COMPANY A major financial institution is growing , a 250 member team working across risk, marketing, and product analytics. This team operates as an internal consultancy , delivering insight-driven strategies to support commercial growth. THE ROLE These roles focus on customer analytics, risk modelling, pricing strategy, and marketing opt... ",Glasgow
Wild Atlantic Cycling Limited,https://www.reed.co.uk/jobs/business-adminstrator/54464304,,13,685685,54464304,,Business Adminstrator,32000.0,25/03/2025,11/02/2025,25000.0,GBP,"About Wild Atlantic Cycling Wild Atlantic Cycling Limited delivers supported, point-to-point cycling tours in Ireland, Scotland, Spain, Portugal, France, Croatia and The Balkans. Our tours appeal to relatively experienced cyclists from age 20 to 70 . Our emphasis is on great routes and second to none customer service. We are seeking a replacement on 1st March 2025 for our skilled, enthusiastic and dedicated Business Administrator who is retiring... ",DD82DX
Meraki Talent Limited,https://www.reed.co.uk/jobs/commercial-finance-manager/54467381,,15,487981,54467381,,Commercial Finance Manager ,80000.0,25/03/2025,11/02/2025,70000.0,GBP,"Meraki Talent are exclusively engaged to support the appointment of a permanent Commercial Finance Manager based in Edinburgh paying 70,000 - 80,000 plus excellent bonus potential, pension &amp; benefits. The Company This business produces several market leading products through cutting edge technology &amp; innovation. Performance and excellence are ingrained in it’s DNA, but it’s evolved significantly over recent years to diversify its product... ",EH21BB
Sanderson,https://www.reed.co.uk/jobs/mi-subject-matter-expert/54433637,,5,520034,54433637,,MI Subject Matter Expert,,20/03/2025,06/02/2025,,,"Who are Diligenta? Diligenta's vision is to be acknowledged as Best in-class Platform based Life and Pensions Administration Service provider. Customer service is at the heart of everything we do, and our aim is to transform our clients' operations. A business that has been described as 'home' by existing employees, we drive a culture that is founded on positive change and development. Summary of the role: The Enterprise MI, Planning, and Insigh... ",Edinburgh
Streamline Search Ltd,https://www.reed.co.uk/jobs/class-1-hgv-driver/54531833,,2,632887,54531833,,Class 1 HGV Driver,32000.0,08/04/2025,25/02/2025,30000.0,GBP,"(Class 1 HGV Driver) - Position Overview Our client is an All-round logistics provider specializing in next day/ same day delivery of air and sea freight and the distribution of heavy, awkward and dangerous consignments within the UK. Role Summary: Drive company vehicles in a safe manner and adhere to all relevant legislation / rules in relation to the loads being transported. (Class 1 HGV Driver) - Position Requirements Doing deliveries / colle... ",G524BD
Streamline Search Ltd,https://www.reed.co.uk/jobs/night-shift-class-1-hgv-driver/54574316,,1,632887,54574316,,Night Shift Class 1 HGV Driver,36000.0,14/04/2025,03/03/2025,32000.0,GBP,"(Class 1 HGV Driver) - Position Overview Our client is an All-round logistics provider specializing in next day/ same day delivery of air and sea freight and the distribution of heavy, awkward and dangerous consignments within the UK. They are now looking for a Night Shift Class 1 HGV Driver to join their ranks and help boost their operations. Role Summary: Drive company vehicles in a safe manner and adhere to all relevant legislation / rules in... ",G524BD
Streamline Search Ltd,https://www.reed.co.uk/jobs/class-1-hgv-driver/54568994,,1,632887,54568994,,Class 1 HGV Driver,36000.0,14/04/2025,03/03/2025,32000.0,GBP,"(Class 1 HGV Driver) - Position Overview Our client is an All-round logistics provider specializing in next day/ same day delivery of air and sea freight and the distribution of heavy, awkward and dangerous consignments within the UK. They are now looking for a Night Shift Class 1 HGV Driver to join their ranks and help boost their operations. Role Summary: Drive company vehicles in a safe manner and adhere to all relevant legislation / rules in... ",G524BD
iMultiply Resourcing Ltd ,https://www.reed.co.uk/jobs/finance-systems-consultant/54454331,,17,430580,54454331,,Finance Systems Consultant,40000.0,24/03/2025,10/02/2025,37000.0,GBP,"iMultiply are working in partnership with an exciting company in Edinburgh for a Finance Systems Expert to drive process improvements, automation, and system continuity. You'll have an analytical and logical mind, and you will be involved in project work, finance transformation, connecting Dynamics with other third-party systems. Key Responsibilities: Manage and maintain our Power Platforms suite, including Power Automate workflows, ensuring sec... ",EH11AD
Robert Half,https://www.reed.co.uk/jobs/finance-business-partner/54529546,,11,664120,54529546,,Finance Business Partner,50000.0,07/04/2025,24/02/2025,48000.0,GBP,"We are partnering with a leading waste management business that is at the forefront of renewable energy innovation. With a clear focus on sustainability and environmental stewardship, this Glasgow-based organisation is driving change and generating cleaner energy solutions. In this exciting period of growth, they are looking for a Finance Business Partner to join their dynamic team and play a pivotal role in their mission. The Role : As a Financ... ",Glasgow
Head Resourcing,https://www.reed.co.uk/jobs/platform-engineer/54478401,,35,339759,54478401,,Platform engineer,49000.0,27/03/2025,13/02/2025,40000.0,GBP,"Head Resourcing are recruiting for a senior platform engineer for a financial services company. This role is predominantly remote although ideally you will be near one of the hubs in Gosforth or Glasgow for occasional office attendance. The role pays 39,000 - 49,000 and offers a range of great benefits . The role will require some occasional weekend/evening work. The core aspect of your role will be to support the management of the Operational P... ",G27ER
eFinancialCareers,https://www.reed.co.uk/jobs/financial-analyst-project-people/54667165,,0,629474,54667165,,Financial Analyst - Project People,,29/04/2025,18/03/2025,,,"Finance Analyst Permanent Position Theale | Hybrid (3 days per week onsite) Our Telco Partner is in search of a Part / Qualified Finance Professional to take on an exciting Finance Analyst role. We would require someone with advanced excel skills (LOOKUPS, pivot tables) who can ensure there is one source of truth and ensure data consistency. We are looking for someone who will need to devise systems to test that the data is accurate for invoicin... ",Calcots
Appcastenterprise,https://www.reed.co.uk/jobs/fraud-product-owner/54650758,,1,632629,54650758,,Fraud Product Owner,,25/04/2025,14/03/2025,,,"Join us as a Fraud Product Owner Build your career as an influential fraud data and analytics leader and evangelist You’ll lead a cross functional team of data scientists, engineers, analysts and technologists to deliver impactful and innovative change projects transforming the way in which we protect our customers and the bank from fraudsters This is a chance to collaborate with wider business and peers to deliver on the joint fraud and bank vi... ",Edinburgh
Appcastenterprise,https://www.reed.co.uk/jobs/risk-finance-transformation-programme-test-lead/54272083,,0,632629,54272083,,Risk & Finance Transformation Programme Test Lead,,21/04/2025,08/01/2025,,,"Join us as a Risk and Finance Data Transformation Test Lead You’ll work across the Technology, Finance COO and Risk &amp; Finance business teams to further develop the Programme test strategy and execution plans aligned to the multi-year roadmap You’ll drive the testing scope within time, cost, quality, and management of the associated risk profile This is an opportunity for a driven Test Lead to join us and deliver our goals on time, within bud... ",Edinburgh
eFinancialCareers,https://www.reed.co.uk/jobs/senior-design-manager-m-g-plc/54611899,,0,629474,54611899,,Senior Design Manager - M&G plc.,,29/04/2025,09/03/2025,,,"At M&amp;G our purpose is to give everyone real confidence to put their money to work. As an international savings and investments business with roots stretching back more than 170 years, we offer a range of financial products and services through Asset Management, Life and Wealth. All three operating segments work together to deliver attractive financial outcomes for our clients, and superior shareholder returns. Through our behaviours of telli... ",Edinburgh
Appcastenterprise,https://www.reed.co.uk/jobs/senior-privacy-associate/54345364,,3,632629,54345364,,Senior Privacy Associate,,26/04/2025,20/01/2025,,,"Join us as a Senior Privacy Associate You'll be joining NatWest Boxed, our new Banking as a Service business We’ll look to you to drive collaboration across the business to ensure effective and up to date awareness of data protection and privacy policy You'll influence and challenge senior risk stakeholders in the interpretation and implementation of internal policy and regulatory requirements, flexing between corporate thinking and a start up i... ",Edinburgh
Appcast Enterprise,https://www.reed.co.uk/jobs/project-manager-finance-transformation/54642141,,4,674264,54642141,,Project Manager-Finance Transformation,,24/04/2025,13/03/2025,,,"Introduction Join us at Gallagher Re, the trailblazers of the reinsurance world, where every day brings new opportunities to shape the future. We empower our clients with cutting-edge analytics and insights, providing them the confidence to make strategic decisions that transform industries. As a team member, you'll be at the forefront of innovation, translating data into impactful solutions and taking the reins of your career like never before.... ",Glasgow
Appcast Enterprise,https://www.reed.co.uk/jobs/project-manager-finance-transformation/54561336,,2,674264,54561336,,Project Manager-Finance Transformation,,12/04/2025,01/03/2025,,,"Introduction Join us at Gallagher Re, the trailblazers of the reinsurance world, where every day brings new opportunities to shape the future. We empower our clients with cutting-edge analytics and insights, providing them the confidence to make strategic decisions that transform industries. As a team member, you'll be at the forefront of innovation, translating data into impactful solutions and taking the reins of your career like never before.... ",Glasgow
